Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Bachelor of Arts in Political Science,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"General application requirements include submitting the online application via ApplyTexas or Common App, a $75 application fee, and a required essay. Applicants must also submit their academic record through the Self-reported Transcript and Academic Record System (STARS). [3] An official high school transcript may be required for certain applicants, such as those in the top 10% of their class, to verify their rank. [3, 10] The university employs a holistic review process for applicants not eligible for automatic admission, considering academic and non-academic factors. [3]",Not Required,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Arts and Sciences,,,,,,,,,"The Bachelor of Arts (BA) degree program in Political Science provides a solid education in liberal arts. This program focuses on improving students' understanding of local and global politics. [5] The curriculum is aimed at enhancing students' understanding of foreign and domestic politics, along with essential training in social science research methods, strengthening their critical thinking abilities, and enhancing students' written, verbal, and visual communications skills. [4] In addition to building skills in social science research and data analysis, the Political Science degree plan encompasses a broad spectrum of coursework from Texas A&M University. [4] By allowing for flexibility in courses that can be taken within the core curriculum, as well as for general electives, students can achieve a well-rounded education that can help with their future educational and professional goals. [4] Graduates have a wide spectrum of career fields to choose from, including government, law, secondary education, higher education, business, and non-profits. [4]",,https://catalog.tamu.edu/undergraduate/,"Texas A&M University is accredited by the Southern Association of Colleges & Schools Commission on Colleges (SACSCOC) to award baccalaureate, master's and doctoral degrees. [13, 14] Specific accreditation for the Bachelor of Arts in Political Science program is not mentioned.",,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,65.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Political Science,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"In addition to the online application, freshman applicants must submit an essay. The required essay prompt is: “Tell us your story. What unique opportunities or challenges have you experienced throughout your high school career that have shaped who you are today?” [12]. Applicants must also complete a Self-reported Transcript and Academic Record System (STARS) [4]. Texas A&M University has a test-optional policy for admissions.",Not Required,,True,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Arts and Sciences, Bush School of Government and Public Service","$12,841 per year for in-state students and $40,328 per year for out-of-state students (Tuition and fees for the 2025-2026 academic year. Room, board, and other expenses are not included). [43]",,,,,,,,"Beyond a focus on research skills and data analysis, the BS degree plan is designed to provide students with a broad range of coursework available at Texas A&M University. By allowing for flexibility in courses that can be taken within the core curriculum, as well as for general electives, students can achieve a well-rounded education that can help with their future educational and professional goals. Within their major area of study, students will be able to further their education in American political institutions and political behavior; international relations; comparative politics; political theory; research methodology; public policy and administration; and race and ethnic politics. [10] The Bachelor of Science (BS) degree program in Political Science focuses on teaching research skills and data analysis while deepening understanding of politics. [9, 10] At Texas A&M, this program stands out for its unique approach within the undergraduate political science curriculum. It's intended to introduce students to political research methods, making it a starting point for those interested in technical careers like policy analysis, data science, or graduate studies. This BS program is one of the largest and most science-oriented political science undergraduate programs in the world. [10]",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Poultry Science,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,Industry Emphasis,"Students completing a Bachelor of Science in poultry science with the industry emphasis find employment with the poultry and food industries in positions such as corporate management, quality assurance, sales or technical support in live production, processing or marketing. [5] Students in this emphasis also get positions with pharmaceutical and equipment companies, with industry trade publications and in various university and public service positions. [5]",,https://catalog.tamu.edu/programs/,,,,FALSE,True,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,"Incoming freshmen scholarships range from $500-$1,500 for the first year. Departmental scholarships for subsequent years range from $500 to $5,000 annually. A specific endowed scholarship offers $4,000 per year for four years.",,"Merit-based (based on high school accomplishments and grades), with consideration for leadership and financial need.",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Psychology,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"General freshman admission to Texas A&M is holistic and considers academic factors (high school courses, grades, rigor, GPA, and class rank) and non-academic factors (extracurricular activities, community service, leadership, employment, and personal challenges). [10] Applicants must submit a self-reported transcript and academic record (STAR). [12] Essays are submitted as part of the application. [7]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts and Sciences,,,,,,,,," The Bachelor of Arts (BA) in Psychology provides students with a knowledge base in psychology, trains them in scientific inquiry and critical thinking skills, prepares them to consider ethical and social responsibility in a diverse world, develops their communication skills, and provides them with adequate professional development to apply psychological knowledge and skills in a variety of settings. [3] The program covers foundation courses in psychology; namely: Introduction to Psychology, Statistics, Research Methods, Developmental Psychology, Social Psychology, Cognitive Psychology, Experimental Psychology, Biopsychology, Psychological Measurements, Abnormal Psychology, and Clinical Psychology. [3] The program also offers courses that focus on psychological applications in the fields of education, industry, and health. [3]",,https://catalog.tamu.edu/programs/,"Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [4] The Clinical Psychology program is accredited by the American Psychological Association. [9]",,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Psychology,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"In addition to general university admission requirements, the catalog for the Bachelor of Science in Psychology does not specify any further program-specific application requirements. General freshman application requirements include the application itself and a self-reported academic record. [4, 5]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts & Sciences,,,,,,,,,"The Department of Psychology at Texas A&M University offers a Bachelor of Science (BS) in Psychology, which requires 120 credit hours to complete. The Bachelor of Science degree requires additional hours in the physical and biological sciences. This degree is designed to prepare students for further study in science-oriented psychology graduate programs (such as neuroscience), medical school, or other health-related graduate and professional programs (e.g., pharmacy, physical therapy). It also prepares graduates for entry-level positions in business or applied psychology. [14]",,https://catalog.tamu.edu/programs/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Public Health,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"For freshman admission, applicants must submit an application through ApplyTexas or the Common App, which includes a required essay. A non-refundable application fee and a self-reported academic record are also necessary. Specific course and GPA requirements apply for transfer students and current Texas A&M students wishing to change their major to Public Health. [3, 4] For example, students wishing to change their major must have a minimum Texas A&M GPA of 2.75 and have completed specific math and science courses. [3]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Public Health,,,,,,,,,"The Bachelor of Science in Public Health (BSPH) program is based on a philosophy of health promotion and disease prevention, to improve the quality of life of individuals, families, and communities. Graduates of the BSPH program, which is offered at both the College Station and McAllen campuses, will be able to assess factors influencing health in populations as well as plan, design, implement, and successfully manage effective health care programs and interventions. [3]",,https://catalog.tamu.edu/programs/,"The Texas A&M University School of Public Health, a member of the Texas A&M University Health Science Center, is accredited by the Council on Education for Public Health (CEPH). This accreditation covers our bachelor's, master's, and doctoral degrees. [12]",,,FALSE,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,"Need-based, Merit-based",FALSE,,,FALSE,FALSE,,,False,
,"Bachelor of Science in Rangeland, Wildlife and Fisheries Management",,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,Required,"Admission to the Bachelor of Science in Rangeland, Wildlife and Fisheries Management program is handled through the general freshman admission process for Texas A&M University. Applicants must submit an online application via Common App or ApplyTexas, a completed application essay from the provided prompts, and a self-reported academic record (SRAR). Consideration for admission is based on a holistic review of academic achievements and other submitted information.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"Department of Rangeland, Wildlife, and Fisheries Management",USD16956 (2026),,,,,,,"['Rangeland Management', 'Wildlife Management', 'Aquaculture and Fisheries Management', 'Natural Resources Management and Policy', 'Outdoor Enterprise Management']","The Bachelor of Science in Rangeland, Wildlife and Fisheries Management degree equips students with the vital skills, knowledge and ethical standards needed to establish a successful career in the diverse field of natural resource management. [1] Our curriculum was deliberately designed to exceed federal qualification standards as well as the professional certifications administered by professional organizations such as The Wildlife Society, Society for Range Management and American Fisheries Society. [1] Our program also provides a solid foundation for students who plan to pursue a graduate education or other professional programs. [1]",,https://catalog.tamu.edu/programs/,,,,FALSE,True,,,2.00,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Religious Studies,,,,,Undergraduate,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Russian,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Science,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,False,False,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, and Leadership scholarships",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Sociology,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts and Sciences,,,,,,,,"['Community Studies', 'Criminology and Criminal Justice', 'Gender', 'Global Sociology', 'Health and Society', 'Legal Studies', 'Organizational Management and Marketing', 'Race and Ethnicity', 'Social Issues and Services']","A Bachelor of Science in Sociology provides a solid foundation in the knowledge and skills needed to address real-world social issues and problems, while allowing students to explore a wide range of social topics and issues. [5] Some courses in this program include hands-on service-learning opportunities in which students connect service and/or research in the community with course material. [5] For sociology majors seeking to enter applied fields, we have a highly praised internship program that offers practical experience in community nonprofit organizations, government agencies, and businesses. [5] Students accepted into our honors program have opportunities to work one-on-one with professors engaged in sociological research. [3]",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Spanish,,,,,Undergraduate,Fall 2026,,,,Optional,Required,Not Required,Required,"Required documents for freshman admission include the online application (via Common App or ApplyTexas), a non-refundable application fee of $75, and the Self-Reported Academic Record (SRAR). All applicants must also answer the required essay prompt: “Tell us your story. What unique opportunities or challenges have you experienced throughout your high school career that have shaped who you are today?”. [4] Graduate application requirements are determined by individual programs.",Not Required,,True,True,False,False,False,False,,True,False,False,False,True,True,True,False,False,,,,,,,,,,,,,"The Bachelor of Arts (B.A.) in Spanish will give you a rich view of the world and a practical skill in our increasingly bilingual landscape. [4] Through this program, you will enhance your analytical and critical thinking skills. [4] After graduating, you'll be prepared to continue your studies in graduate or professional schools (medicine, law, business) or start a variety of careers, including: Education, Business, Human Resources, Research, Government, Social Service, Tourism, Journalism, and Translation. [4] Spanish majors are required to complete a credit-bearing 10-week minimum semester-long study or experience abroad in a Spanish-speaking country. [11] Study abroad options include University-sponsored, reciprocal, affiliated, and independent programs. [11] Selection of location and type of experience abroad should be made in consultation with departmental advisors. [11] For students who are unable to study abroad, an internship may be used instead, with prior approval by the Spanish advisor. [11]",,https://catalog.tamu.edu/programs/,"Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [8]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Sport Management,,,,,Undergraduate,Fall 2026,,,,Optional,Not Required,Not Required,Required,"Applicants to the Bachelor of Science in Sport Management program, as with all undergraduate applicants to Texas A&M University, must submit either the ApplyTexas Application or the Common App. A required essay must be submitted, and applicants will choose from several prompts. An applicant's academic record, including GPA and the rigor of courses taken, is a primary factor for admission. Extracurricular activities and other achievements are also considered in the holistic review process.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Education and Human Development,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Statistics,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"Applicants for the Bachelor of Arts in Statistics must meet the general requirements for bachelor's degrees and the Unified General Education Requirements. [1] All freshman applicants must submit an application, a nonrefundable application fee of $75 (fee waivers are available), and a required essay. [9] Applicants must also complete a Self-reported Transcript and Academic Record System (STARS), as official high school transcripts are not used for the initial admission process in most cases. [9, 11]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"Department of Mathematics, Applied Mathematics, and Statistics",,,,,,,,Actuarial Science Concentration,"Students seeking to complete this major and degree program must meet the general requirements for bachelor's degrees and the Unified General Education Requirements. Students completing this program as a secondary major while completing another undergraduate degree program do not need to satisfy the school-specific requirements associated with this major. The BA degree in statistics requires a minimum of 50 credit hours of approved coursework, including 27 credit hours of advanced coursework (300- or 400-level).",,https://catalog.tamu.edu/programs/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Statistics,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"the bachelor of science in statistics consists of a modern curriculum and includes instruction in: The use of software to manage, visualize, and interpret data of all kinds. The use of probabilistic reasoning to draw conclusions from data. The design of experiments that provide insight into uncertain processes. The use of data to build models for complex systems. In completing the degree, you will also develop expertise in an outside area of your choosing. You will then apply all that you have learned to solve a substantial, real-world problem as part of a capstone project. The degree requires 12 hours in an outside area of specialization. By carefully selecting your electives, you will likely be able to obtain a minor from another department with little to no additional coursework. Many students choose to pursue a minor, but you are not required to declare a minor for your outside specialization.",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Technology Management,,,,,Undergraduate,Fall 2026,,,,Optional,Not Required,Not Required,Required,"For freshman applicants, required documents include a completed application and a self-reported academic record. An essay is also required. For graduate applicants, requirements vary by program but generally include a completed application, transcripts, and often letters of recommendation, and a statement of purpose.",Not Required,,True,True,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Education and Human Development,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, College and departmental, and external scholarships.",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Telecommunication Media Studies,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,,Not Required,,False,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts and Sciences,,,,,,,,,"The BA in TCMS features a broad, liberal arts approach to media topics and is supported by classwork from across the College of Arts and Sciences, and beyond. The BA in TCMS requires study in communication technology skills, technology and communication, research methods and media theory, and then branches out to permit choices among a number of TCMS electives in communication, film studies, journalism and business. The BA is a flexible, liberal arts, media-oriented degree. Coursework for incoming Freshmen begins with a dedicated first semester experience which introduces them to the breadth of the field of Communication and of Media while also involving them in small groups and acquainting them with Texas A&M University, our resources and our opportunities. We also welcome transfer students, meeting them where they are and integrating them into the Communication, Media and Journalism family. A Bachelor of Arts degree in Telecommunication Media Studies serves well in a broad variety of careers. Our students may become social media experts, online marketers, broadcasters, producers, filmmakers, digital media specialists, industry leaders, government regulators, spokespeople, politicians, writers, artists, activists, and informed citizens. TCMS-BA students will select a minor. They have the option to select a certificate in Health Communication, Leadership and Conflict Management, Social Media, and in Strategic Communication.",,https://catalog.tamu.edu/programs/,"Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [9]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Theatre Arts,,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,An undergraduate student is considered scholastically deficient if their term or cumulative GPA falls below 2.00. [9],4.0,A minimum institutional GPA of 2.00 is required for graduation. [11],,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Tourism and Hospitality Management,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,False,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in University Studies,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"The Bachelor of Science (BS) in University Studies is a degree program for current or returning Texas A&M students that allows them to tailor undergraduate coursework to align with personal and career objectives. It is not a major that students can apply to directly as incoming freshmen. Students enter the program via a change of major. The degree consists of a concentration area and two minors. For example, the University Studies-Business concentration includes a 24-credit-hour business concentration and two minors of 15 to 18 hours each from other colleges. [13] Another option is the University Studies - Global Arts, Planning, Design & Construction concentration, which is an interdisciplinary major integrating multiple aspects of the built environment. [9] Entry requirements, such as GPA and completed coursework, vary by the specific concentration a student wishes to pursue. [14, 15]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,"Texas A&M University offers various types of scholarships, which can be broadly categorized as merit-based and need-based. [5, 10, 18]",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Urban and Regional Planning,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,False,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,School of Architecture,,,,,,,,"['Policy Track', 'Urban Design Track']","The Bachelor of Science in Urban and Regional Planning program prepares students to solve problems in communities across the state, nation, and world. Students learn to deal effectively with the opportunities and challenges inherent in the development and growth of communities. The multidisciplinary curriculum features theoretical training in the social and natural sciences, analytical methods, and applied problem solving.",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Visualization,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Not Required,Required,"General freshman applicants to Texas A&M University must submit an online application, a self-reported academic record (SRAR), and an essay. There are no additional specific application requirements for freshman admission into the Bachelor of Science in Visualization program.",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"College of Performance, Visualization and Fine Arts","The cost to attend varies depending on a variety of factors, including semester of admission, student type, how many hours you take per semester, and rate type. Use the Texas A&M Tuition Calculator to get the best estimate of your tuition cost per semester. [14]",,,,,,,"['Animation', 'Game Creation', 'Interactive Design']","This program integrates elements of fine arts, three-dimensional design, programming, and digital technology to provide a broad, wide-ranging educational experience for creating visual imagery. [4] The mission of the Bachelor of Science in Visualization program is to engage and develop the student's visual, intuitive and analytical capabilities through the scientific and aesthetic issues surrounding the use of technology in visual communication. [4] To fulfill its mission, the program requires both a creative spirit and the technical understanding to adapt to the changing demands of the visual industries served by the departmental programs. [4] The core of the program is the studio experience, which explores the relationship between theory and practices through a variety of exercises and projects using traditional and electronic media. [4] Upon completion of the foundational courses, students will have the opportunity to select one of Visualization focus areas: Animation, Game Creation, or Interactive. Design. [4] A semester away from Texas A&M University is required during the junior year. [4] This is followed by a capstone proposal and studio during the junior and senior years. [4] A broad range of directed electives allows the student to gain an in-depth understanding of an area of specialization. [4] Graduates of the program are prepared to be technically adept artists, designers and/or tool-makers capable of utilizing interactive and directed media. [4] Employment may be found in such fields as user interface and web design, the entertainment industry (game design and development, animation and visual effects), as well as fields such as modeling and simulation, data analytics and other fields where visualization contributes to understanding. [4] Alternatively, graduates may enter graduate programs that emphasize digital media in either computer science or art/design. [4]",,https://catalog.tamu.edu/programs/,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,"Numerous scholarships and financial aid are available through Texas A&M University, the College of Performance, Visualization & Fine Arts, and the visualization program. [14]",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Science in Wildlife and Fisheries Sciences,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,Prospective freshman students must apply using the Common App or ApplyTexas. The application includes short answer questions that allow students to share more of their personal experiences. [4] Admission decisions are based on a holistic review of all academic factors provided in the application file. [4],Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Agriculture and Life Sciences,,,,,,,,"['Rangeland Management', 'Wildlife Management', 'Aquaculture and Fisheries Management', 'Natural Resources Management and Policy', 'Outdoor Enterprise Management']","The Bachelor of Science in Rangeland, Wildlife and Fisheries Management degree equips students with the vital skills, knowledge and ethical standards needed to establish a successful career in the diverse field of natural resource management. [1] Our curriculum was deliberately designed to exceed federal qualification standards as well as the professional certifications administered by professional organizations such as The Wildlife Society, Society for Range Management and American Fisheries Society. [1] Our program also provides a solid foundation for students who plan to pursue a graduate education or other professional programs. Graduates of RWFM are qualified for careers with leading state and federal conservation and science-based agencies, as well as private land enterprises and non-governmental organizations. [1] Because of the complex and diverse nature of the field, the B.S. in Rangeland, Wildlife and Fisheries Management program offers four unique, specialized tracks to further tailor a student's degree to best suit their interests and post-graduation goals. [1]",,https://catalog.tamu.edu/programs/,"The RWFM curriculum was deliberately designed to exceed federal qualification standards as well as the professional certifications administered by organizations such as The Wildlife Society, Society for Range Management and American Fisheries Society. [3]",,,FALSE,True,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,$4000/year for the Dean's Excellence Scholarship. [38],,"Merit-based and need-based scholarships are available, including the Dean's Excellence Scholarships. [38]",FALSE,,,FALSE,FALSE,,,False,
,Bachelor of Arts in Women's and Gender Studies,,,,,Undergraduate,Fall 2026,,,,Not Required,Required,Optional,Required,"Freshman applicants must submit an online application via Common App or ApplyTexas, pay a $75 nonrefundable application fee (or receive a waiver), submit a required essay, and provide a Self-reported Academic Record (STARS). For applicants not eligible for automatic admission, the application is reviewed holistically, considering academic factors like course rigor and GPA, and non-academic factors such as extracurricular activities, community service, leadership, and employment. [3, 4]",Not Required,,True,False,False,,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,,,,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,146,6.0,,,,,80.0,,,,,,,,,,,,,"Merit-based, Need-based, Research grants, Creative activity grants",FALSE,,,FALSE,FALSE,,,False,
,Minor in Africana Studies,,,,,Undergraduate,Fall 2026,,,,Not Required,Not Required,Not Required,Required,"To declare a minor in Africana Studies, a student needs to contact Dr. Alain Lawo-Sukam and must set up an appointment with the Africana Studies Advisor in the Undergraduate Programs Office. Students must successfully complete 15 credit hours with a grade of C or better, including 6 hours of upper-division (300-400) level courses. [7, 9]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts & Sciences,,,,,,,,,"The interdisciplinary minor in Africana Studies provides students with a unique opportunity to think critically about the cultural, historical, and social contributions and experiences of people from Africa and of African descent across ethnic, regional, and national boundaries. [14] The program is designed to give students critical and integrated perspectives on the historical, social, and cultural experiences and contributions of people of Africa and African descent. [4] It brings together a rich network of scholars in multiple disciplines, including Anthropology, English, Film Studies, Hispanic Studies, Performance Studies, Philosophy, Psychology, History, and Sociology. [4] A background in Africana Studies is intended to complement any career field, such as business, law, education, engineering, the arts, or medicine, by providing a foundation in critical thinking, research, writing, and analysis. [4]",,https://catalog.tamu.edu/programs/,,,,FALSE,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80.0,,,,,,,,,,,,,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,False,
